developer_name, country, rate, date, hours_worked, software_stack,
Shayne Kai Braun-Kuhlman,Colombia,USD 28,04-2023,119,Data Engineer,null
Karen Sawyer Walsh,Chile,USD 28,04-2023,122,Data Engineer,null
Lavonne Micah Conn,Chile,USD 15,04-2023,153,DevOps,null
Vito Marlowe Greenfelder,Uruguay,USD 17,04-2023,129,DevOps,null
Fiona Brooklyn Sporer,Nigeria,USD 17,04-2023,166,DevOps,null
Stephon Bowie Heller,Kenya,USD 28,04-2023,155,Data Engineer,null
Johann Anderson Koelpin,Georgia,USD 22,04-2023,91,Backend,null
Chasity Skyler Volkman,Uganda,USD 16,04-2023,146,DevOps,null
Franz Reagan O'Kon,Nigeria,USD 26,04-2023,92,Frontend,null
Kelly Anderson Lueilwitz,Peru,USD 24,04-2023,132,Backend,null
Sonny Sasha Conn,Turkey,USD 28,04-2023,104,Data Engineer,null
Raoul Dakota Welch,Brazil,USD 33,04-2023,165,Data Engineer,null
Rodolfo Taylor Stanton,Argentina,USD 24,04-2023,105,Frontend,null
Twila London Shanahan,Kenya,USD 19,04-2023,96,Backend,null
Hazle Jules Donnelly,Peru,USD 34,04-2023,141,Data Engineer,null
Rasheed Rory Bayer,Uganda,USD 27,04-2023,118,Frontend,null
Valentin Arden Jakubowski,Uruguay,USD 24,04-2023,170,Frontend,null
Hallie Rowan Leuschke,Uruguay,USD 24,04-2023,164,Frontend,null
Santina Cameron Schuster,Ivory Coast,USD 27,04-2023,163,Data Engineer,null
Aiyana Jamie Purdy,Armenia,USD 27,04-2023,103,Data Engineer,null
Kacey Dakota Schmidt,Peru,USD 36,04-2023,129,Data Engineer,null
Margaretta Gray Littel,Georgia,USD 24,04-2023,129,Frontend,null
Albina River Abbott,Turkey,USD 17,04-2023,171,DevOps,null
Christy North Kerluke,Turkey,USD 22,04-2023,139,Backend,null
Mckayla Reagan Kohler,Georgia,USD 23,04-2023,124,Backend,null
Eugenia Ryan Beahan,Uruguay,USD 21,04-2023,160,Frontend,null
Gianni Bowie Marquardt,Colombia,USD 19,04-2023,101,Backend,null
Michele North Kuhic,Brazil,USD 23,04-2023,143,Frontend,null
Cordell Taylor Bergnaum,Uruguay,USD 17,04-2023,120,DevOps,null
Antoinette Micah Parisian,Kenya,USD 36,04-2023,147,Data Engineer,null
Consuelo Kai Hudson,Senegal,USD 19,04-2023,132,DevOps,null
Rahul Micah Reichel,Brazil,USD 23,04-2023,113,Backend,null
Bill Kendall Satterfield,Colombia,USD 25,04-2023,164,Frontend,null
Kristina Parker Metz,Uruguay,USD 31,04-2023,132,Data Engineer,null
Addison Jamie Stehr,Brazil,USD 18,04-2023,158,Backend,null
Ahmed Reign Blanda,Uganda,USD 16,04-2023,119,DevOps,null
Diana Ryan Lehner,Peru,USD 24,04-2023,89,Backend,null
Blair Harper Greenfelder,Turkey,USD 24,04-2023,135,Frontend,null
Rogelio Quinn Littel,Armenia,USD 17,04-2023,104,DevOps,null
Seth Bowie Jenkins,Chile,USD 23,04-2023,100,Backend,null
Mercedes Kai McGlynn,Nigeria,USD 28,04-2023,86,Data Engineer,null
Kyleigh Elliott Ritchie,Brazil,USD 17,04-2023,90,DevOps,null
Jacklyn Austin Gleason,Turkey,USD 24,04-2023,149,Backend,null
Elise Kai Windler,Brazil,USD 23,04-2023,118,Frontend,null
Ulises Taylor Terry,Turkey,USD 20,04-2023,156,Backend,null
Ephraim Kyle Jones,Uruguay,USD 24,04-2023,151,Backend,null
Lolita Kai Emard,Uruguay,USD 24,04-2023,152,Backend,null
Natalia Charlie Boehm,Zimbabwe,USD 27,04-2023,147,Data Engineer,null
Kyle Skyler Mayer,Armenia,USD 18,04-2023,172,Backend,null
Zoe London Kuphal,Brazil,USD 23,04-2023,88,Backend,null
Meaghan Jules Purdy,Nigeria,USD 19,04-2023,122,Backend,null
Rolando Billie Thiel,Colombia,USD 31,04-2023,140,Data Engineer,null
Ebba Skyler Murray,Uruguay,USD 23,04-2023,112,Backend,null
Grace Noah Zulauf,Brazil,USD 30,04-2023,163,Data Engineer,null
Major Riley Leannon,Uruguay,USD 21,04-2023,152,Frontend,null
Thomas Arden Schuster,Ivory Coast,USD 25,04-2023,119,Frontend,null
Angelo Charlie Crona,Sweden,USD 28,04-2023,105,Data Engineer,null
Evie Gray Leuschke,Uruguay,USD 18,04-2023,138,Backend,null
Viviane Phoenix Armstrong,Chile,USD 18,04-2023,103,Backend,null
Estefania Rory Ledner,Uruguay,USD 20,04-2023,101,Frontend,null
Scotty Jordan Witting,Uganda,USD 19,04-2023,101,DevOps,null
Ashleigh Reese Stehr,Uganda,USD 24,04-2023,95,Frontend,null
Kelsie Gray West,Nigeria,USD 21,04-2023,112,Frontend,null
Giovanni Logan Pfeffer,Brazil,USD 20,04-2023,123,Frontend,null
Malika Nico Lynch,Uganda,USD 34,04-2023,88,Data Engineer,null
Maybell Logan Nolan,Brazil,USD 21,04-2023,103,Frontend,null
Andres Addison Mitchell,Uruguay,USD 20,04-2023,112,Frontend,null
Margarita Sage Daniel,Senegal,USD 25,04-2023,88,Frontend,null
Kiana Jamie Hoppe,Turkey,USD 27,04-2023,154,Data Engineer,null
Dolly Dakota Abshire,Sweden,USD 20,04-2023,103,Frontend,null
Lessie Bailey Metz,Zimbabwe,USD 15,04-2023,155,DevOps,null
Clair Riley Tromp,Brazil,USD 19,04-2023,163,Backend,null
General Gray Haley,Armenia,USD 27,04-2023,166,Frontend,null
Marietta Greer Upton,Brazil,USD 27,04-2023,137,Frontend,null
Vernie Rory Stiedemann,Brazil,USD 27,04-2023,150,Data Engineer,null
Osborne Dakota Schaefer,Brazil,USD 24,04-2023,154,Frontend,null
Ocie Shawn Hagenes,Brazil,USD 21,04-2023,149,Frontend,null
Jarod Brooklyn Medhurst,Uganda,USD 31,04-2023,102,Data Engineer,null
Malcolm Taylor Dare,Ivory Coast,USD 23,04-2023,144,Frontend,null
Orville Sasha Champlin,Peru,USD 27,04-2023,96,Data Engineer,null
Walton Bowie Kihn,Uruguay,USD 21,04-2023,147,Frontend,null
Jabari Arden Bechtelar,Brazil,USD 27,04-2023,171,Frontend,null
Judah Leslie Denesik,Nigeria,USD 16,04-2023,165,DevOps,null
Gavin Leslie Shanahan,Brazil,USD 34,04-2023,156,Data Engineer,null
Fermin Robin Moore,Georgia,USD 31,04-2023,137,Data Engineer,null
Ladarius Phoenix Parker,Ivory Coast,USD 21,04-2023,156,Frontend,null
Noble Logan Cartwright,Chile,USD 21,04-2023,133,Backend,null
Lily Bailey Harber,Turkey,USD 18,04-2023,167,Backend,null
Omari Logan Koch,Turkey,USD 31,04-2023,163,Data Engineer,null
Amparo Corey Schiller,Chile,USD 21,04-2023,88,Backend,null
Melany Jules Miller,Sweden,USD 36,04-2023,167,Data Engineer,null
Dion Anderson Hackett,Armenia,USD 19,04-2023,117,DevOps,null
Hazle Reese Cummerata,Turkey,USD 31,04-2023,169,Data Engineer,null
Conrad James Keeling,Turkey,USD 21,04-2023,112,Frontend,null
Keshawn River Schiller,Uganda,USD 18,04-2023,126,DevOps,null
Aaliyah Angel Cartwright,Ivory Coast,USD 19,04-2023,115,Backend,null
Elisa Anderson Gorczany,Brazil,USD 24,04-2023,118,Backend,null
Mike Emerson Walsh,Uruguay,USD 15,04-2023,126,DevOps,null
Nelle Jordan Kuhn,Brazil,USD 19,04-2023,151,DevOps,null
Braeden Rowan Jaskolski,Georgia,USD 31,04-2023,166,Data Engineer,null
Demarco Emerson Greenholt,Brazil,USD 26,04-2023,104,Frontend,null
Greg Reagan Cruickshank,Uganda,USD 31,04-2023,167,Data Engineer,null
Mallory Billie Kerluke,Uganda,USD 26,04-2023,171,Frontend,null
Hilma Jordan Bauch,Turkey,USD 28,04-2023,110,Data Engineer,null
Anibal Rowan Mann-Bernier,Brazil,USD 34,04-2023,141,Data Engineer,null
Lou River Schneider,Nigeria,USD 36,04-2023,159,Data Engineer,null
Merritt Phoenix Weber,Georgia,USD 20,04-2023,89,Frontend,null
Vernie Greer Moore,Uruguay,USD 24,04-2023,143,Frontend,null
Daren Cameron Swift,Brazil,USD 23,04-2023,172,Frontend,null
Loma Leslie Kozey,Turkey,USD 26,04-2023,113,Frontend,null
Maxie Reese Kessler,Peru,USD 20,04-2023,145,DevOps,null
Dandre Avery Batz,Brazil,USD 15,04-2023,165,DevOps,null
Kenyon August Stoltenberg,Brazil,USD 25,04-2023,169,Frontend,null
Robbie Harper Emard,Brazil,USD 20,04-2023,110,Frontend,null
Kristian Logan Steuber,Turkey,USD 24,04-2023,146,Frontend,null
Ray Reagan Rohan,Sweden,USD 26,04-2023,125,Frontend,null
Marcelle Emerson Dickinson,Turkey,USD 26,04-2023,135,Frontend,null
Deven Corey Kunde,Uganda,USD 28,04-2023,160,Data Engineer,null
Jewel Bowie McLaughlin,Turkey,USD 25,04-2023,90,Frontend,null
Savanah Ryan Leffler,Nigeria,USD 19,04-2023,133,DevOps,null
Casimir Hayden Toy,Brazil,USD 24,04-2023,137,Frontend,null
Winnifred Marlowe Bechtelar,Peru,USD 24,04-2023,150,Frontend,null
Joesph Cameron Jakubowski,Peru,USD 16,04-2023,170,DevOps,null
Kobe Phoenix Spencer,Peru,USD 20,04-2023,111,Backend,null
Armand Elliott Stokes,Colombia,USD 25,04-2023,135,Frontend,null
Wilhelmine Greer Paucek,Brazil,USD 27,04-2023,86,Frontend,null
Ashlynn Arden Wilderman,Colombia,USD 26,04-2023,118,Frontend,null
Americo Bailey Goyette,Turkey,USD 21,04-2023,149,Frontend,null
Dusty Sasha Johns,Colombia,USD 20,04-2023,108,DevOps,null
Juliet Nico Zemlak,Turkey,USD 17,04-2023,102,DevOps,null
Ronny Emerson Mills,Armenia,USD 18,04-2023,158,Backend,null
Lavon Kai Davis,Peru,USD 34,04-2023,167,Data Engineer,null
Emely Harper Nicolas,Turkey,USD 18,04-2023,133,DevOps,null
Athena Jamie Koch,Zimbabwe,USD 24,04-2023,168,Frontend,null
Marquise Reagan Kohler-Erdman,Sweden,USD 19,04-2023,132,DevOps,null
Cade Avery Watsica-Mayer,Peru,USD 21,04-2023,160,Backend,null
Cyrus Sawyer Schaden,Peru,USD 27,04-2023,152,Frontend,null
Davonte Micah Jakubowski,Chile,USD 18,04-2023,164,Backend,null
Meta Jamie Nitzsche,Sweden,USD 30,04-2023,88,Data Engineer,null
Clarabelle London Bradtke,Brazil,USD 28,04-2023,172,Data Engineer,null
Kirstin August Franecki,Georgia,USD 20,04-2023,91,Frontend,null
Nickolas August Marquardt,Armenia,USD 21,04-2023,114,Backend,null
Zita Robin Kshlerin,Brazil,USD 31,04-2023,162,Data Engineer,null
Florence Riley Wilderman,Turkey,USD 36,04-2023,141,Data Engineer,null
Sigrid Hayden Russel,Sweden,USD 36,04-2023,138,Data Engineer,null
Kory Robin Thompson,Turkey,USD 30,04-2023,166,Data Engineer,null
Donato Finley Zieme,Georgia,USD 24,04-2023,170,Frontend,null
Emelie Rowan Labadie,Peru,USD 16,04-2023,141,DevOps,null
Ahmed River Paucek,Brazil,USD 27,04-2023,133,Frontend,null
Collin Hayden Conn,Sweden,USD 18,04-2023,126,DevOps,null
Rashad River Stoltenberg,Uruguay,USD 30,04-2023,117,Data Engineer,null
Skyla Billie Stokes,Turkey,USD 27,04-2023,129,Frontend,null
Jean Elliott Maggio,Peru,USD 22,04-2023,133,Backend,null
Darby Noah Okuneva,Turkey,USD 27,04-2023,108,Frontend,null
Hillard Alex Nader-Goyette,Peru,USD 24,04-2023,145,Frontend,null
Eleanora Greer Cormier,Brazil,USD 22,04-2023,108,Backend,null
Elouise Ellis Zboncak,Nigeria,USD 36,04-2023,123,Data Engineer,null
Jamal Reese Bayer,Turkey,USD 24,04-2023,99,Backend,null
Broderick Greer Lakin,Ivory Coast,USD 30,04-2023,154,Data Engineer,null
Alexanne Jaden Rosenbaum,Turkey,USD 33,04-2023,154,Data Engineer,null
Osborne Angel Brown-Feeney,Uganda,USD 21,04-2023,103,Frontend,null
Talon Addison McKenzie,Colombia,USD 20,04-2023,97,Frontend,null
Jacky Bowie Crooks,Sweden,USD 24,04-2023,143,Backend,null
Earnest Reese Cremin,Peru,USD 18,04-2023,153,Backend,null
Israel Cameron Schuppe,Brazil,USD 27,04-2023,131,Frontend,null
Elnora Nico Goodwin,Peru,USD 20,04-2023,117,Frontend,null
Theron Reign Harris,Peru,USD 25,04-2023,119,Frontend,null
Jennie Nico Gerlach,Georgia,USD 19,04-2023,92,DevOps,null
Jonathan Charlie VonRueden,Peru,USD 24,04-2023,139,Backend,null
Rupert Alex Waters,Ivory Coast,USD 31,04-2023,160,Data Engineer,null
Joseph August Durgan,Sweden,USD 28,04-2023,86,Data Engineer,null
Audra Jamie West,Zimbabwe,USD 25,04-2023,115,Frontend,null
Riley Charlie Greenholt-Price,Colombia,USD 15,04-2023,160,DevOps,null
Cristina Sage Blick,Uganda,USD 23,04-2023,112,Backend,null
Domenica Rowan McGlynn,Chile,USD 20,04-2023,92,DevOps,null
Harvey Addison Collins,Kenya,USD 23,04-2023,119,Frontend,null
Molly Billie Pfeffer,Brazil,USD 28,04-2023,170,Data Engineer,null
Juliana James Block,Brazil,USD 27,04-2023,96,Data Engineer,null
Jean Corey Dooley,Armenia,USD 30,04-2023,140,Data Engineer,null
Cecil Brooklyn Kuvalis,Nigeria,USD 20,04-2023,119,Backend,null
Woodrow Reign Kuvalis,Brazil,USD 24,04-2023,86,Frontend,null
Kiel Alex Sawayn,Armenia,USD 23,04-2023,153,Backend,null
Jamel Reign Medhurst,Uganda,USD 27,04-2023,124,Data Engineer,null
Halie Gray Oberbrunner,Uruguay,USD 34,04-2023,147,Data Engineer,null
Brionna Kyle Spinka,Sweden,USD 25,04-2023,87,Frontend,null
Syble Quinn Haag-Satterfield,Turkey,USD 28,04-2023,106,Data Engineer,null
Jaden Gray Tillman,Turkey,USD 20,04-2023,152,DevOps,null
Ceasar Arden Krajcik-Williamson,Brazil,USD 20,04-2023,112,Frontend,null
Pasquale Blake Dooley,Turkey,USD 24,04-2023,126,Frontend,null
Russel Noah Pfeffer,Nigeria,USD 33,04-2023,88,Data Engineer,null
Hailie Jordan Runte,Peru,USD 20,04-2023,99,Frontend,null
Sebastian Greer Veum,Sweden,USD 24,04-2023,172,Frontend,null
Doug Kennedy Funk-Fay,Argentina,USD 27,04-2023,133,Data Engineer,null
Hassan Avery Denesik,Sweden,USD 21,04-2023,118,Frontend,null
Cristina Jules Pacocha,Chile,USD 21,04-2023,101,Frontend,null
Jedediah Kennedy Abbott,Georgia,USD 30,04-2023,167,Data Engineer,null
Grover Quinn Kessler,Nigeria,USD 21,04-2023,124,Frontend,null
Ignatius Hayden Zulauf,Turkey,USD 24,04-2023,89,Backend,null
Della Angel Wyman,Brazil,USD 27,04-2023,138,Frontend,null
Vivien Blake Witting,Brazil,USD 27,04-2023,149,Frontend,null
Avery Taylor Dicki,Turkey,USD 20,04-2023,164,Backend,null
Hal Skyler Jacobi,Brazil,USD 21,04-2023,128,Frontend,null
Ara Jordan Ebert,Brazil,USD 26,04-2023,111,Frontend,null
Edgardo Finley Grant,Nigeria,USD 21,04-2023,126,Frontend,null
Olaf Brooklyn O'Reilly,Turkey,USD 21,04-2023,113,Backend,null
Gianni North Sipes,Senegal,USD 34,04-2023,127,Data Engineer,null
Rosalyn Jamie Romaguera,Colombia,USD 33,04-2023,113,Data Engineer,null
Giuseppe Nico Kassulke,Turkey,USD 26,04-2023,137,Frontend,null
Chris Parker Wolf,Nigeria,USD 17,04-2023,118,DevOps,null
Lindsay North Upton,Chile,USD 18,04-2023,105,Backend,null
Shaina Harper Stokes,Ivory Coast,USD 22,04-2023,101,Backend,null
Name Leslie Lehner,Brazil,USD 17,04-2023,169,DevOps,null
Leanne River Dickens,Brazil,USD 28,04-2023,140,Data Engineer,null
Haskell Kendall Kuvalis,Turkey,USD 33,04-2023,157,Data Engineer,null
Bridgette Parker Pollich,Nigeria,USD 31,04-2023,103,Data Engineer,null
Icie Reign Schumm,Uruguay,USD 23,04-2023,136,Backend,null
Alfonzo Kai Johnston,Brazil,USD 23,04-2023,131,Frontend,null
Diamond Quinn Beatty,Colombia,USD 21,04-2023,90,Backend,null
Forest Jamie Hamill,Turkey,USD 26,04-2023,126,Frontend,null
Lexi Bailey Larson,Nigeria,USD 25,04-2023,133,Frontend,null
Carlee Kai Hamill,Argentina,USD 20,04-2023,158,DevOps,null
Lauriane Finley Marvin,Uruguay,USD 24,04-2023,97,Frontend,null
Isac Kendall Nikolaus,Ivory Coast,USD 24,04-2023,165,Frontend,null
Birdie Reese Quitzon,Brazil,USD 19,04-2023,89,DevOps,null
Boris Sawyer Anderson,Turkey,USD 26,04-2023,103,Frontend,null
Florence Shiloh Kilback,Georgia,USD 23,04-2023,87,Backend,null
Shane Shiloh DuBuque,Brazil,USD 17,04-2023,98,DevOps,null
Addison Reese Mann,Sweden,USD 15,04-2023,108,DevOps,null
Gust River Breitenberg,Chile,USD 25,04-2023,171,Frontend,null
Brycen Robin Waters,Turkey,USD 20,04-2023,113,Frontend,null
Stone Avery Howell,Turkey,USD 21,04-2023,139,Backend,null
Henderson Elliott Lesch,Brazil,USD 21,04-2023,119,Backend,null
Diana Taylor Rowe,Uganda,USD 36,04-2023,100,Data Engineer,null
Catalina Emerson Brekke,Turkey,USD 20,04-2023,149,Frontend,null
Alysha Ryan Weimann,Brazil,USD 27,04-2023,149,Frontend,null
Zakary Kyle Turcotte-Tromp,Brazil,USD 26,04-2023,122,Frontend,null
Melyna Phoenix Corkery,Turkey,USD 17,04-2023,99,DevOps,null
Jeanne Kennedy Rau,Sweden,USD 31,04-2023,138,Data Engineer,null
Danial Jaden Quitzon,Turkey,USD 18,04-2023,167,Backend,null
Camden Reese Bruen,Armenia,USD 24,04-2023,129,Backend,null
Avis Avery Runolfsson,Turkey,USD 24,04-2023,123,Backend,null
Helene Harper Wintheiser-Legros,Uruguay,USD 20,04-2023,155,DevOps,null
Quinn Noah Schulist,Senegal,USD 21,04-2023,116,Frontend,null
Tressie Marlowe Abbott,Brazil,USD 23,04-2023,112,Backend,null
Robb Shiloh Bashirian,Ivory Coast,USD 19,04-2023,157,Backend,null
Miguel Reign Kub,Peru,USD 17,04-2023,150,DevOps,null
Margie Austin Parker,Brazil,USD 28,04-2023,140,Data Engineer,null
Breana Blake Shanahan,Armenia,USD 17,04-2023,163,DevOps,null
Evelyn Reagan Herzog,Colombia,USD 18,04-2023,109,Backend,null
Reymundo Arden Kris,Peru,USD 18,04-2023,102,DevOps,null
Rickey Harper Nitzsche,Brazil,USD 23,04-2023,166,Frontend,null
Roslyn Rory Waters,Peru,USD 22,04-2023,131,Backend,null
Bennett Reign Schimmel,Brazil,USD 23,04-2023,142,Backend,null
Darian Sasha Gutkowski,Turkey,USD 20,04-2023,87,Frontend,null
Stephania Jaden Anderson,Brazil,USD 18,04-2023,104,Backend,null
Laurie Sawyer Smith,Senegal,USD 20,04-2023,127,Backend,null
Mabelle Billie Kozey,Turkey,USD 17,04-2023,143,DevOps,null
Skylar Rory Powlowski,Turkey,USD 30,04-2023,115,Data Engineer,null
Sallie Charlie Weimann,Georgia,USD 23,04-2023,124,Frontend,null
Savanah North Crist,Sweden,USD 28,04-2023,170,Data Engineer,null
Chance Sawyer Pacocha,Zimbabwe,USD 33,04-2023,168,Data Engineer,null
Jaylen Cameron Greenholt,Senegal,USD 36,04-2023,153,Data Engineer,null
Bridie Logan Medhurst,Turkey,USD 20,04-2023,102,Backend,null
Wilton Greer Lynch,Ivory Coast,USD 36,04-2023,105,Data Engineer,null
Jana Arden Kilback,Brazil,USD 33,04-2023,87,Data Engineer,null
Sabrina Finley Dickens,Brazil,USD 20,04-2023,114,Backend,null
Cecilia Austin Bins,Armenia,USD 20,04-2023,144,Backend,null
Deanna August Erdman,Turkey,USD 20,04-2023,139,Backend,null
Jessika Anderson Emmerich,Armenia,USD 17,04-2023,132,DevOps,null
Omari Kai Dare,Turkey,USD 30,04-2023,122,Data Engineer,null
Cody Arden Denesik,Nigeria,USD 24,04-2023,103,Frontend,null
Jacinto James Rippin,Georgia,USD 21,04-2023,110,Frontend,null
Eulalia Anderson Dickens,Argentina,USD 19,04-2023,91,DevOps,null
Sheldon Reese Leannon,Turkey,USD 23,04-2023,147,Frontend,null
Vergie Logan Johns,Uruguay,USD 23,04-2023,122,Frontend,null
Lempi Jules Kuvalis,Peru,USD 25,04-2023,122,Frontend,null
Autumn Brooklyn McLaughlin,Sweden,USD 21,04-2023,109,Frontend,null
Eliane Shiloh Mills,Armenia,USD 31,04-2023,92,Data Engineer,null
Pamela Angel Muller,Turkey,USD 27,04-2023,157,Frontend,null
Sylvan Avery Smitham,Peru,USD 22,04-2023,93,Backend,null
Don Shiloh Green,Senegal,USD 26,04-2023,100,Frontend,null
Arnulfo Avery Kuhn-Ferry,Brazil,USD 17,04-2023,143,DevOps,null
Alejandra Cameron Kilback,Uganda,USD 34,04-2023,138,Data Engineer,null
Ford North Schimmel,Nigeria,USD 27,04-2023,120,Frontend,null
Lloyd James Schamberger,Uruguay,USD 19,04-2023,110,Backend,null
Alysson Leslie White,Chile,USD 23,04-2023,96,Frontend,null
Daren Drew Kassulke,Armenia,USD 31,04-2023,137,Data Engineer,null
Earl Sage Doyle,Brazil,USD 15,04-2023,124,DevOps,null
Manuel Elliott Deckow,Argentina,USD 28,04-2023,154,Data Engineer,null
Alejandrin Marlowe Dietrich,Senegal,USD 15,04-2023,88,DevOps,null
Viola Avery Price,Kenya,USD 19,04-2023,168,Backend,null
Nathaniel Rowan Cruickshank,Turkey,USD 20,04-2023,88,Frontend,null
Michaela Logan Runte-Sporer,Argentina,USD 24,04-2023,114,Backend,null
Autumn Sawyer Grady,Kenya,USD 36,04-2023,89,Data Engineer,null
Reymundo Jules Howell-Schaden,Brazil,USD 23,04-2023,163,Frontend,null
Darron North Graham,Armenia,USD 20,04-2023,124,DevOps,null
Greyson Brooklyn Wolff,Armenia,USD 34,04-2023,158,Data Engineer,null
Destiny Taylor Adams,Colombia,USD 23,04-2023,124,Frontend,null
Ali Reese Rempel,Turkey,USD 20,04-2023,155,Backend,null
Cordia Rowan Mann,Brazil,USD 28,04-2023,127,Data Engineer,null
Jefferey Reagan Mann,Georgia,USD 19,04-2023,172,DevOps,null
Nicola Austin Conroy,Peru,USD 28,04-2023,145,Data Engineer,null
Francisca Nico Bradtke,Turkey,USD 20,04-2023,124,Backend,null
Else Reese Torphy,Sweden,USD 34,04-2023,143,Data Engineer,null
Skyla Ellis Sanford,Brazil,USD 33,04-2023,100,Data Engineer,null
Isobel Jules Runolfsson,Sweden,USD 24,04-2023,98,Backend,null
Mellie Gray Strosin,Zimbabwe,USD 16,04-2023,104,DevOps,null
Annabell James Rice,Uganda,USD 20,04-2023,168,Frontend,null
Jamal Hayden Wisoky,Sweden,USD 18,04-2023,127,Backend,null
Tyrel Cameron Gutmann,Sweden,USD 19,04-2023,142,Backend,null
Nakia Marlowe Block,Turkey,USD 36,04-2023,171,Data Engineer,null
Sheila Brooklyn Gleichner,Chile,USD 20,04-2023,110,Frontend,null
Jarrett James Padberg,Argentina,USD 24,04-2023,150,Frontend,null
Emma Kai Koepp,Brazil,USD 19,04-2023,150,DevOps,null
Jeramy Jordan Marvin,Turkey,USD 23,04-2023,103,Backend,null
Dylan Gray Kohler,Turkey,USD 28,04-2023,91,Data Engineer,null
Santina North Sawayn,Colombia,USD 20,04-2023,111,Backend,null
Clare Angel Pagac,Turkey,USD 24,04-2023,153,Frontend,null
Austen Ellis Bruen,Armenia,USD 17,04-2023,86,DevOps,null
Clifford Dakota Schuppe,Sweden,USD 23,04-2023,160,Backend,null
Helene London Ward,Brazil,USD 28,04-2023,153,Data Engineer,null
Buster Shiloh Cassin,Chile,USD 18,04-2023,150,DevOps,null
Helena Micah Casper,Turkey,USD 30,04-2023,109,Data Engineer,null
Brian Corey Corwin,Zimbabwe,USD 18,04-2023,96,Backend,null
Bernita Logan Legros,Brazil,USD 17,04-2023,146,DevOps,null
Francesco Angel Sauer,Peru,USD 16,04-2023,136,DevOps,null
Trystan Billie Green,Brazil,USD 30,04-2023,112,Data Engineer,null
Ansel Kyle Zieme,Chile,USD 25,04-2023,166,Frontend,null
Hunter Sawyer Gerhold,Brazil,USD 28,04-2023,96,Data Engineer,null
Elinore Micah Connelly,Nigeria,USD 23,04-2023,110,Frontend,null
Marianna Austin Marquardt,Brazil,USD 34,04-2023,128,Data Engineer,null
Thad Avery Friesen,Armenia,USD 27,04-2023,137,Frontend,null
Carlie Shiloh Gerhold,Uruguay,USD 27,04-2023,165,Frontend,null
Laurence Robin Hermiston,Turkey,USD 20,04-2023,136,Frontend,null
Tracy Blake Goldner,Turkey,USD 34,04-2023,159,Data Engineer,null
Ole Logan Wolff,Turkey,USD 31,04-2023,135,Data Engineer,null
Audrey Anderson Klein,Senegal,USD 20,04-2023,130,Frontend,null
Monroe Reese Reinger,Turkey,USD 27,04-2023,158,Frontend,null
Rickey Kyle Auer,Uganda,USD 22,04-2023,165,Backend,null
Stanley Leslie Schiller,Colombia,USD 24,04-2023,139,Frontend,null
Aubree Elliott Veum,Sweden,USD 33,04-2023,167,Data Engineer,null
Beaulah Angel Goyette,Uganda,USD 19,04-2023,115,DevOps,null
Ila Emerson McLaughlin,Brazil,USD 23,04-2023,102,Backend,null
Agnes Finley Ankunding,Ivory Coast,USD 34,04-2023,120,Data Engineer,null
Brody Reagan Connelly,Uganda,USD 18,04-2023,165,DevOps,null
Leonard Anderson Bartoletti,Kenya,USD 19,04-2023,93,DevOps,null
Vivian Skyler Considine,Brazil,USD 23,04-2023,123,Frontend,null
Kory Sasha Schneider,Armenia,USD 26,04-2023,163,Frontend,null
Asia River Schuster,Kenya,USD 27,04-2023,113,Frontend,null
Madaline Gray Crona,Turkey,USD 34,04-2023,103,Data Engineer,null
Aniya Addison Nader,Brazil,USD 36,04-2023,167,Data Engineer,null
Creola Rowan Williamson-Schumm,Uganda,USD 20,04-2023,119,Frontend,null
Wallace Corey Armstrong,Colombia,USD 31,04-2023,135,Data Engineer,null
Adalberto Micah Schaden,Ivory Coast,USD 30,04-2023,116,Data Engineer,null
Jany Quinn Monahan,Argentina,USD 25,04-2023,137,Frontend,null
Gerardo Phoenix Bartoletti,Colombia,USD 27,04-2023,166,Frontend,null
Clyde Micah Ferry,Turkey,USD 21,04-2023,98,Frontend,null
Eda Kyle Crona,Uruguay,USD 21,04-2023,90,Frontend,null
Wilma Sage Ortiz,Uganda,USD 19,04-2023,139,Backend,null
Corrine Bowie Krajcik,Argentina,USD 19,04-2023,160,Backend,null
Ara Logan Gusikowski,Uganda,USD 20,04-2023,96,Frontend,null
Bettye Reese Bogan,Uganda,USD 24,04-2023,167,Frontend,null
Jessika Micah Emmerich,Armenia,USD 20,04-2023,141,Frontend,null
Kayley Micah Skiles,Peru,USD 31,04-2023,167,Data Engineer,null
Ida Corey Hayes,Georgia,USD 31,04-2023,123,Data Engineer,null
Marilou Avery Wisozk,Peru,USD 16,04-2023,143,DevOps,null
Bernita Sage Dooley,Brazil,USD 21,04-2023,120,Frontend,null
Dewayne Shawn Treutel,Turkey,USD 25,04-2023,172,Frontend,null
Julia Jordan Sanford,Turkey,USD 19,04-2023,152,Backend,null
Leora Kyle Greenholt,Portugal,USD 27,04-2023,156,Frontend,null
Marvin Finley Doyle,Uruguay,USD 23,04-2023,89,Backend,null
Lottie Sage Boyer,Brazil,USD 27,04-2023,98,Frontend,null
Paula Logan Huel,Brazil,USD 27,04-2023,109,Frontend,null
Loraine Rowan Howell,Brazil,USD 22,04-2023,143,Backend,null
Sonny Bowie Heaney,Nigeria,USD 23,04-2023,122,Frontend,null
Makenzie Harper Reichel,Peru,USD 34,04-2023,136,Data Engineer,null
